統一編號,公司名稱,電話,進口資格,出口資格,查詢時間
12868358,緯創資通股份有限公司,02-66169999,有 YES,有 YES,2025-09-25 09:41:21
00000201,,,,2025-09-25 09:41:22,
00000259,,,,2025-09-25 09:41:22,
00000379,,,,2025-09-25 09:41:22,
00000413,,,,2025-09-25 09:41:23,
00001047,,,,2025-09-25 09:41:24,
00001052,,,,2025-09-25 09:41:27,
00001270,,,,2025-09-25 09:41:30,
00001308,,,,2025-09-25 09:41:32,
00001362,,,,2025-09-25 09:41:32,
00001449,,,,2025-09-25 09:41:32,
00002003,,,,2025-09-25 09:41:32,
00002030,今盛環境淨化股份有限公司,0909319513,有 YES,有 YES,2025-09-25 09:41:33
00002453,,,,2025-09-25 09:41:33,
00002572,,,,2025-09-25 09:41:33,
00002670,,,,2025-09-25 09:41:34,
00002876,,,,2025-09-25 09:41:40,
00002881,,,,2025-09-25 09:41:42,
00003024,,,,2025-09-25 09:41:43,
00003538,秝驎國際股份有限公司,04-25666891,有 YES,有 YES,2025-09-25 09:41:43
00003621,,,,2025-09-25 09:41:43,
00003930,,,,2025-09-25 09:41:43,
00004234,,,,2025-09-25 09:41:44,
00004467,,,,2025-09-25 09:41:44,
00004706,,,,2025-09-25 09:41:44,
00005120,,,,2025-09-25 09:41:45,
00005700,大中福國企業有限公司,02-24223768,有 YES,有 YES,2025-09-25 09:41:50
00005780,,,,2025-09-25 09:41:51,
00005830,,,,2025-09-25 09:41:52,
00005846,,,,2025-09-25 09:41:53,
00005965,,,,2025-09-25 09:41:53,
00006471,,,,2025-09-25 09:41:53,
00006535,泰士科技股份有限公司,,有 YES,有 YES,2025-09-25 09:41:54
00006599,,,,2025-09-25 09:41:54,
00006824,,,,2025-09-25 09:41:57,
00007181,,,,2025-09-25 09:42:01,
00007295,,,,2025-09-25 09:42:02,
00007422,,,,2025-09-25 09:42:02,
00007719,樺盈創投股份有限公司,,有 YES,有 YES,2025-09-25 09:42:03
00007915,,,,2025-09-25 09:42:03,
00008105,泰全儲能科技股份有限公司,07-3534736,有 YES,有 YES,2025-09-25 09:42:03
00008180,,,,2025-09-25 09:42:04,
00008251,,,,2025-09-25 09:42:07,
00008554,,,,2025-09-25 09:42:11,
00008674,,,,2025-09-25 09:42:15,
00009028,,,,2025-09-25 09:42:17,
00009441,,,,,2025-09-30 17:21:14
00009667,,,,2025-09-30 17:21:16,
00009913,,,,2025-09-30 17:21:17,
00010469,利東開發有限公司,04-22557511,有 YES,有 YES,2025-09-30 17:21:18
00010524,,,,2025-09-30 17:21:19,
00010897,,,,2025-09-30 17:21:20,
00011018,,,,2025-09-30 17:21:23,
00011203,,,,2025-09-30 17:21:24,
00011328,,,,2025-09-30 17:21:25,
00011517,,,,2025-09-30 17:21:26,
00012558,群曜數位科技股份有限公司,,有 YES,有 YES,2025-09-30 17:21:27
00012706,,,,2025-09-30 17:21:28,
00012868,,,,2025-09-30 17:21:30,
00013016,,,,2025-09-30 17:21:31,
00013135,,,,2025-09-30 17:21:32,
00013249,,,,2025-09-30 17:21:33,
00013368,,,,2025-09-30 17:21:34,
00013607,,,,2025-09-30 17:21:36,
00014394,,,,2025-09-30 17:21:37,
00014839,,,,2025-09-30 17:21:38,
00014887,鉅嘉聯合科技股份有限公司,02-7730-7797,有 YES,有 YES,2025-09-30 17:21:40
00015128,,,,2025-09-30 17:21:47,
00015160,,,,2025-09-30 17:21:48,
00015181,湧達科技股份有限公司,02-2269-6789,有 YES,有 YES,2025-09-30 17:21:50
00015197,,,,2025-09-30 17:21:55,
00015339,,,,2025-09-30 17:21:58,
00015416,,,,2025-09-30 17:21:59,
00015485,,,,2025-09-30 17:22:00,
00015611,,,,2025-09-30 17:22:01,
00016040,,,,2025-09-30 17:22:02,
00016484,,,,2025-09-30 17:22:04,
00017195,,,,2025-09-30 17:22:05,
00017287,,,,2025-09-30 17:22:06,
00017343,,,,2025-09-30 17:22:08,
00017884,,,,2025-09-30 17:22:12,
00017977,,,,2025-09-30 17:22:17,
00018146,,,,2025-09-30 17:22:22,
00018504,源升實業有限公司,02-28918699,有 YES,有 YES,2025-09-30 17:22:25
00018650,旭豐興業有限公司,,有 YES,有 YES,2025-09-30 17:22:26
00018722,兀蘭投資有限公司,,有 YES,有 YES,2025-09-30 17:22:27
00018960,,,,2025-09-30 17:22:28,
00019341,,,,2025-09-30 17:22:30,
00019383,,,,2025-09-30 17:22:31,
00019530,,,,2025-09-30 17:22:32,
00020023,,,,2025-09-30 17:22:34,
00020086,,,,2025-09-30 17:22:35,
00020136,,,,2025-09-30 17:22:37,
00020425,寶盛彩妝股份有限公司,,有 YES,有 YES,2025-09-30 17:22:38
00020950,,,,2025-09-30 17:22:40,
00020993,,,,2025-09-30 17:22:42,
00021043,,,,2025-09-30 17:22:43,
00021162,,,,2025-09-30 17:22:45,
00021254,,,,2025-09-30 17:22:46,
00021304,,,,2025-09-30 17:22:47,
00021407,,,,2025-09-30 17:22:50,
00021521,華成國際物流股份有限公司,02-25172211,有 YES,有 YES,2025-09-30 17:22:51
00021682,,,,2025-09-30 17:22:52,
00021698,,,,2025-09-30 17:22:58,
00021803,,,,2025-09-30 17:22:59,
00021894,,,,2025-09-30 17:23:02,
00022021,祥邑貿易有限公司,04-35005183,有 YES,有 YES,2025-09-30 17:23:03
00022042,,,,2025-09-30 17:23:04,
00022090,,,,2025-09-30 17:23:06,
00022248,,,,2025-09-30 17:23:07,
00022319,,,,2025-09-30 17:23:08,
00022520,,,,2025-09-30 17:23:12,
00022893,瑩春漁業股份有限公司,07-8410277,有 YES,有 YES,2025-09-30 17:23:13
00023210,,,,2025-09-30 17:23:15,
00023274,,,,2025-09-30 17:23:16,
00023886,,,,2025-09-30 17:23:17,
00023936,,,,2025-09-30 17:23:18,
00024132,森宇生醫股份有限公司,03-4333123,有 YES,有 YES,2025-09-30 17:23:19
00024203,,,,2025-09-30 17:23:20,
00024421,,,,2025-09-30 17:23:21,
00024436,有糖國際有限公司,04-22520808,有 YES,有 YES,2025-09-30 17:23:22
00024549,,,,2025-09-30 17:23:23,
00024581,,,,2025-09-30 17:23:24,
00024689,,,,2025-09-30 17:23:25,
00025250,,,,2025-09-30 17:23:27,
00025343,台灣明治醫藥股份有限公司,,有 YES,有 YES,2025-09-30 17:23:28
00025717,,,,2025-09-30 17:23:28,
00026167,英捷智能股份有限公司,0227922122,有 YES,有 YES,2025-09-30 17:23:29
00026188,,,,2025-09-30 17:23:30,
00026835,,,,2025-09-30 17:23:31,
00026906,,,,2025-09-30 17:23:32,
00026928,,,,2025-09-30 17:23:34,
00026954,,,,2025-09-30 17:23:35,
00026997,暖暖趣股份有限公司,02-89139876,有 YES,有 YES,2025-09-30 17:23:36
00027089,,,,2025-09-30 17:23:38,
00027102,,,,2025-09-30 17:23:40,
00027784,,,,2025-09-30 17:23:41,
00028186,,,,2025-09-30 17:23:42,
00028427,,,,2025-09-30 17:23:44,
00028539,,,,2025-09-30 17:23:45,
00028593,,,,2025-09-30 17:23:46,
00028600,,,,2025-09-30 17:23:47,
00028860,,,,2025-09-30 17:23:48,
00029143,方案三三有限公司,02-29630433,有 YES,有 YES,2025-09-30 17:23:51
00029235,,,,2025-09-30 17:23:52,
00029299,,,,2025-09-30 17:23:53,
00030394,,,,2025-09-30 17:23:54,
00030660,,,,2025-09-30 17:23:56,
00030726,,,,2025-09-30 17:23:57,
00030824,,,,2025-09-30 17:24:02,
00030845,,,,2025-09-30 17:24:03,
00031209,,,,2025-09-30 17:24:04,
00031339,景晶科技股份有限公司,03-5970098,有 YES,有 YES,2025-09-30 17:24:05
00031393,,,,2025-09-30 17:24:06,
00031491,,,,2025-09-30 17:24:07,
00031767,,,,2025-09-30 17:24:09,
00031871,,,,2025-09-30 17:24:10,
00031921,,,,2025-09-30 17:24:12,
00032127,進勇科技股份有限公司,,有 YES,有 YES,2025-09-30 17:24:13
00032576,睿創智能有限公司,02-23467000,有 YES,有 YES,2025-09-30 17:24:14
00032668,,,,2025-09-30 17:24:15,
00032718,兆雅資本股份有限公司,,有 YES,有 YES,2025-09-30 17:24:16
00033060,源瑞體育用品有限公司,,有 YES,有 YES,2025-09-30 17:24:17
00033287,,,,2025-09-30 17:24:18,
00033370,,,,2025-09-30 17:24:19,
00033603,,,,2025-09-30 17:24:20,
00033809,,,,2025-09-30 17:24:21,
00033998,,,,2025-09-30 17:24:22,
00034321,,,,2025-09-30 17:24:23,
00034510,,,,2025-09-30 17:24:24,
00034624,,,,2025-09-30 17:24:25,
00035176,太隆實業股份有限公司,24313121,有 YES,有 YES,2025-09-30 17:24:26
00035320,,,,2025-09-30 17:24:27,
00035412,,,,2025-09-30 17:24:28,
00035525,,,,2025-09-30 17:24:29,
00035638,,,,2025-09-30 17:24:30,
00035659,,,,2025-09-30 17:24:32,
00035757,大沃建設有限公司,,有 YES,有 YES,2025-09-30 17:24:33
00035975,,,,2025-09-30 17:24:34,
00036524,,,,2025-09-30 17:24:35,
00036566,富蒂斯科技有限公司,0989008669,有 YES,有 YES,2025-09-30 17:24:37
00036876,,,,2025-09-30 17:24:38,
00036881,,,,2025-09-30 17:24:40,
00036952,,,,2025-09-30 17:24:41,
